left_s,right_s
3.000000,4.499937
3.699979,9.099813
4.099958,10.299792
5.699917,11.399750
6.899896,12.999708
7.599875,15.299646
7.999854,16.399604
8.699833,17.099583
10.999771,17.799563
12.599729,20.899500
13.699687,23.199437
14.899667,24.399417
15.699625,26.999354
18.999542,29.399313
20.199521,31.299271
22.099479,31.699250
22.499458,33.299208
25.599396,33.699188
26.299375,36.099146
28.199333,38.799062
30.099292,39.499042
32.899229,39.899021
34.899167,41.099000
36.799125,45.698875
37.199104,47.198813
38.399083,48.298771
42.298979,48.998750
42.698958,49.698729
43.398938,50.398708
43.798917,50.798687
44.998896,53.098625
46.098854,54.298604
46.498833,56.698521
47.598792,57.098500
51.198667,58.998458
52.398646,60.198437
55.498583,61.398417
55.898562,61.798396
56.298542,62.498375
58.298479,67.098250
63.698354,68.498208
64.098333,70.798146
64.498312,71.498125
65.198292,77.297979
66.398271,77.997958
67.798229,81.097896
69.698188,83.597813
70.098167,84.297792
72.698104,84.997771
73.898083,85.797729
74.298063,86.497708
74.698042,89.597646
75.398021,90.297625
76.098000,91.497604
79.197937,92.197583
79.897917,94.497521
81.797875,95.197500
82.497854,95.597479
83.197833,99.597396
85.397750,103.797292
87.697688,104.997271
88.397667,106.097229
92.597562,107.697187
93.797542,109.597146
96.797458,110.797125
97.997438,111.997104
99.197417,114.397063
100.797375,118.796958
101.997354,119.196938
102.697333,120.996875
103.397312,124.096812
105.697250,124.496792
107.297208,124.896771
108.897167,126.296729
113.197083,128.196687
114.797042,128.596667
115.997021,130.596604
116.397000,131.296583
117.596979,133.696542
119.896917,134.396521
120.596896,135.496479
122.196854,136.196458
122.896833,136.896437
125.596750,138.096417
127.496708,139.196375
128.996646,139.896354
129.396625,140.296333
132.496563,142.296271
134.796500,144.696229
138.796396,145.396208
140.696313,146.596188
141.096292,147.296167
143.496250,148.796104
147.696146,150.696063
148.396125,151.096042
149.496083,151.796021
152.496000,154.895958
153.695979,156.795917
156.095937,159.895854
157.995896,160.995812
158.695875,162.195792
160.595833,163.295750
162.595771,164.895708
163.695729,166.795667
166.095687,168.395625
167.995646,169.995583
169.595604,171.895542
171.195562,174.995479
173.095521,176.895396
173.795500,177.295375
175.695458,179.095313
176.095438,179.895271
176.495417,181.095250
177.995354,181.495229
178.695333,182.195208
179.495292,182.895187
183.595167,184.795146
185.995125,188.395083
187.195104,191.495021
189.095063,193.094979
190.295042,193.794958
192.695000,194.994937
196.094896,195.394917
197.994854,197.294875
198.694833,202.794708
199.094812,203.194687
200.294792,203.894667
200.994771,204.294646
201.394750,210.394500
202.094729,215.794333
205.494625,216.994313
206.194604,218.194292
207.394583,218.994250
208.594562,220.094208
209.294542,220.494188
209.694521,222.494125
211.094479,225.294062
211.494458,225.694042
211.894438,226.094021
212.594417,228.393958
212.994396,228.793937
214.194375,229.893896
214.594354,230.293875
218.594271,231.493854
219.694229,232.593813
221.694167,234.193771
222.094146,234.593750
223.694104,237.693646
224.094083,238.393625
226.794000,238.793604
227.193979,239.193583
229.493917,239.893563
232.193833,240.293542
232.993792,240.693521
234.993729,244.193437
235.393708,245.793396
236.093687,247.193354
236.493667,249.093312
241.893500,252.593229
242.593479,254.593167
243.793458,258.193104
245.393417,258.893083
246.493375,259.593062
247.893333,260.793042
250.293292,261.193021
250.693271,261.593000
251.393250,265.992875
252.993208,267.192854
254.193187,267.892833
255.793146,268.292813
256.993125,268.692792
262.292979,269.392771
262.992958,270.992729
263.692938,271.392708
264.892917,272.492667
265.292896,274.892625
270.592750,276.092604
271.792687,278.492563
273.692646,279.892521
277.292583,281.092500
279.192542,283.692437
282.292479,284.892417
282.992458,287.192354
286.092396,288.392333
286.792375,288.792312
289.992292,292.392250
291.192271,293.992208
293.592229,294.692187
295.392167,295.792146
296.492125,297.892083
297.192104,298.592062
