left_s,right_s
3.699979,3.000000
4.899958,6.799917
5.599938,7.199896
8.699833,7.599875
11.299771,8.299854
11.699750,9.899812
13.099708,10.599792
13.499688,12.399729
14.299646,13.899667
14.699625,16.299583
15.899604,18.599521
16.699562,20.999479
17.399542,21.399458
19.799500,21.799437
24.199354,22.999417
27.199229,23.399396
27.899208,23.799375
28.599187,24.599333
30.999146,24.999312
31.399125,25.699292
32.099104,26.099271
36.698979,26.799250
37.898958,29.799167
38.298938,32.499083
38.698917,33.699062
39.398896,34.399042
40.598875,35.099021
40.998854,36.299000
45.198750,41.698833
48.498667,42.898812
49.698646,44.098792
50.398625,44.798771
53.198563,45.898729
53.898542,47.098708
55.798500,47.798687
56.998479,51.598604
58.998417,51.998583
59.698396,54.598521
60.398375,58.198458
63.498312,58.598438
64.598271,61.598354
65.398229,62.798333
66.998188,64.198292
70.098125,64.998250
72.798042,66.598208
73.198021,67.698167
73.598000,68.898146
75.197958,70.498104
75.897937,70.898083
80.397792,71.598062
81.097771,73.997979
82.297750,77.097917
83.697708,77.797896
84.097688,78.197875
85.197646,78.597854
87.797583,79.297833
88.197563,79.697812
89.597521,82.997729
91.097458,84.497667
94.497354,86.397625
95.697333,87.097604
97.297292,88.897542
97.997271,90.297500
99.597229,90.697479
100.297208,91.497438
101.897167,92.197417
102.597146,92.597396
103.297125,93.797375
104.897083,96.097313
105.997042,98.397250
107.197021,100.697187
108.397000,104.497104
109.096979,105.297062
110.996938,109.796958
112.196917,112.596896
114.196854,112.996875
114.896833,117.296792
116.096812,117.996771
119.896729,119.196750
121.796688,120.596708
122.996667,125.396625
124.196646,127.196562
126.096604,129.496500
126.496583,134.896333
127.896542,135.596313
129.096521,138.196250
129.896479,139.796208
130.296458,140.496187
130.996438,141.896146
132.196417,143.796104
132.896396,144.996083
133.296375,146.196063
133.696354,150.095958
136.296292,150.795938
137.496271,151.895896
138.596229,153.695833
141.196167,154.395813
143.096125,154.795792
146.596042,155.895750
146.996021,156.595729
147.696000,157.295708
148.895979,160.095646
151.495917,160.795625
152.595875,161.195604
153.295854,162.395583
155.495771,162.795562
158.495688,163.495542
159.695667,164.695521
166.595479,165.895500
166.995458,168.095417
167.695437,168.795396
169.495375,176.095188
170.195354,176.495167
170.895333,176.895146
171.295312,177.295125
171.695292,181.695021
172.895271,184.294958
173.295250,187.494875
173.695229,187.894854
174.895208,192.094750
178.495104,197.194625
178.895083,197.894604
179.295063,198.294583
180.495042,199.894542
182.395000,200.994500
183.594979,202.194479
184.694938,202.594458
185.894917,202.994438
187.094896,203.394417
189.094833,204.094396
189.794813,207.194333
190.494792,208.294292
190.894771,209.494271
192.794729,210.194250
193.994708,210.894229
195.194687,211.294208
195.594667,211.694187
196.794646,214.994104
198.694562,217.594042
200.594521,218.994000
205.294375,220.593958
205.994354,222.093896
207.894313,222.793875
212.394167,224.393833
213.594146,224.793813
214.294125,225.193792
215.694083,226.393771
216.894062,226.793750
218.294021,228.693708
220.193979,231.093667
220.993937,233.493625
221.693917,234.693604
223.193854,240.493458
227.493729,240.893438
229.893687,242.793396
232.293646,245.193312
235.393583,246.393292
235.793563,248.793250
236.493542,251.193208
237.693521,251.893188
238.093500,253.093167
239.293479,256.293083
241.593417,257.493063
243.193375,259.393021
243.593354,260.593000
243.993333,263.192938
247.593271,266.192854
249.993229,266.592833
254.293146,267.292813
254.693125,267.692792
255.893104,268.792750
258.193042,269.492729
261.792979,271.392688
262.492958,273.392625
263.892917,274.092604
264.292896,275.292583
265.492875,277.092521
268.392771,277.792500
270.192708,280.592438
271.792667,283.192375
272.992646,284.792333
275.992563,286.192292
276.692542,286.592271
278.992479,287.792250
280.192458,288.192229
281.292417,289.392208
282.492396,290.492167
284.392354,292.892125
285.492313,294.092104
289.792188,294.492083
291.692146,296.392042
295.692063,297.092021
298.491979,297.792000
298.891958,299.291938
