left_s,right_s
3.000000,5.599938
3.699979,6.299917
4.899958,7.499896
8.199875,9.699813
8.899854,11.299771
9.299833,12.399729
10.899792,12.799708
11.699750,13.499688
15.799625,13.899667
18.099563,15.099646
19.299542,16.199604
21.199500,16.899583
22.799458,19.999521
24.399417,22.399479
26.299375,23.999437
28.199333,25.099396
30.499271,26.999354
31.699250,28.599312
32.099229,29.799292
32.799208,33.199188
36.699104,34.399167
37.799062,35.599146
39.599000,35.999125
40.298979,37.099083
40.698958,38.499042
41.098937,39.199021
42.698896,41.498917
43.898875,45.098854
45.798833,46.998812
48.198792,49.398771
50.098750,50.498729
51.698708,52.898646
52.098687,59.898479
52.498667,61.798437
53.298625,63.198396
54.498604,64.398375
55.198583,65.098354
56.398562,66.298333
57.098542,67.898292
58.298521,68.298271
59.498500,71.698167
60.598458,73.698104
62.498417,74.098083
67.498312,75.298063
68.998250,76.398021
69.398229,80.597917
70.098208,81.797896
71.298187,87.397750
72.898146,87.797729
73.298125,88.497708
75.998042,90.897667
77.598000,92.797625
78.297979,93.497604
78.997958,94.197583
79.397937,94.897563
82.497875,95.597542
83.697854,96.797521
84.397833,98.797458
85.097813,100.697417
85.797792,101.897396
86.197771,105.397312
89.697688,107.697250
91.597646,108.397229
97.197500,109.497187
98.397479,114.697063
99.997438,115.097042
103.097375,116.297021
104.297354,116.997000
104.997333,117.696979
106.597292,118.896958
107.297271,119.696917
108.797208,121.296875
110.197167,121.996854
110.897146,122.396833
111.597125,122.796813
112.297104,123.196792
113.497083,123.896771
119.296937,128.896625
120.096896,129.596604
124.596750,129.996583
124.996729,132.296521
125.696708,132.996500
126.096688,133.696479
127.296667,134.796437
127.696646,137.196396
130.696562,137.596375
131.096542,142.996250
134.096458,143.396229
135.996417,144.096208
137.996354,145.696167
138.696333,146.896146
139.896312,147.696104
140.596292,148.796063
141.796271,149.196042
145.296188,149.596021
147.296125,150.796000
148.096083,151.195979
152.395958,155.095875
153.595937,156.995833
154.295917,158.095792
154.695896,160.395729
156.295854,160.795708
157.395813,161.895667
159.295771,163.495625
159.695750,163.895604
161.195687,166.395521
162.295646,166.795500
164.295583,167.895458
164.995563,169.095438
165.695542,170.295417
167.495479,170.695396
173.895312,171.095375
176.295271,172.295354
176.695250,173.495333
179.295187,175.095292
179.695167,177.395229
182.495104,178.095208
183.195083,180.895146
184.395062,182.095125
185.595042,186.295021
187.894937,186.695000
189.494896,187.094979
191.394854,187.494958
192.794813,188.294917
193.494792,190.694875
193.894771,192.094833
196.194708,194.294750
196.994667,194.994729
199.394625,196.594687
200.594604,198.194646
201.794583,202.994563
204.894521,203.694542
208.794417,205.294500
211.194375,206.494479
214.194292,207.194458
215.394271,207.594437
216.194229,209.994396
217.594188,211.594354
217.994167,212.794333
218.394146,213.494313
225.293958,215.794250
225.993937,216.894208
227.193917,219.094125
230.993833,220.294104
231.393812,221.494083
232.093792,221.894062
232.493771,223.094042
232.893750,223.494021
234.093729,224.194000
235.993646,224.893979
236.393625,227.893896
237.493583,228.593875
238.693563,229.793854
239.393542,234.493708
240.593521,234.893687
243.693458,235.593667
245.593417,236.793604
246.693375,241.793500
247.893354,242.993479
251.493292,244.393438
251.893271,246.293396
252.593250,249.093333
255.693146,250.293313
257.293104,252.993229
258.693062,253.693208
259.893042,254.093187
261.093021,255.293167
263.492979,256.093125
264.692958,257.993083
269.292833,262.293000
270.092792,265.092938
270.492771,265.792917
271.192750,266.992896
272.292708,267.692875
274.692667,268.892854
275.092646,269.692813
275.792625,271.592729
276.992604,273.492687
278.192583,279.392562
281.392500,280.592542
282.992458,280.992521
283.392438,281.792479
284.592417,284.992396
286.792333,285.392375
287.992313,286.092354
289.192292,290.392271
291.092250,291.492229
292.192208,292.592188
295.692125,293.792167
296.092104,294.492146
297.192063,296.492083
298.592021,297.892042
300.891958,299.792000
302.091937,300.191979
