left_s,right_s
3.000000,3.699979
4.499937,4.099958
7.099875,5.199917
7.499854,5.899896
8.199833,8.999792
8.599813,9.699771
11.499708,10.399750
13.799646,10.799729
15.599583,11.899688
15.999562,12.599667
16.699542,14.499625
17.099521,14.899604
19.799437,17.499500
24.299292,18.199479
27.799208,18.599458
29.699167,20.999417
30.099146,21.699396
30.899104,22.099375
31.999063,22.499354
32.399042,22.899333
33.599021,23.599312
35.998979,25.499271
38.298917,25.899250
38.998896,27.099229
39.398875,28.499188
40.098854,30.499125
41.298792,31.599083
41.998771,34.799000
43.198750,37.198958
46.598646,37.898938
47.798625,40.498833
49.398583,40.898812
51.798542,44.398729
53.398500,45.098708
54.998458,45.498688
55.698437,45.898667
57.998375,48.998604
58.698354,50.598562
59.098333,52.998521
60.998292,54.598479
61.398271,56.398417
64.198208,56.798396
66.098167,60.298313
66.498146,62.598250
68.898104,63.798229
72.898021,65.398188
75.897937,67.698125
79.197854,70.098083
80.297813,71.298063
80.697792,72.498042
81.397771,73.598000
81.797750,74.297979
82.997729,74.697958
84.197708,76.597917
85.397688,77.297896
85.797667,77.997875
86.997646,79.597833
88.197625,89.297583
88.897604,91.597521
89.697563,92.297500
90.397542,95.097437
93.497479,95.797417
93.897458,96.997396
98.897354,97.697375
99.297333,99.697312
101.297271,100.097292
103.897167,101.997250
106.097083,102.397229
107.297062,103.097208
107.997042,103.497187
109.197021,104.297146
109.897000,104.697125
110.596979,105.397104
110.996958,113.296896
112.196938,114.396854
112.596917,116.296813
113.996875,116.996792
115.596833,117.396771
118.096750,118.796729
122.796625,119.496708
123.196604,120.696687
123.896583,121.396667
125.796542,122.096646
127.696500,125.096563
128.396479,126.496521
128.796458,131.096396
129.996438,132.996354
130.696417,133.396333
131.796375,135.296292
134.596313,135.996271
136.396250,137.496208
136.796229,138.696188
140.096146,139.396167
140.796125,144.296042
141.996104,145.496021
143.196083,146.895979
143.896062,149.895896
146.196000,151.095875
147.595958,154.495771
147.995937,155.695750
149.195917,156.895729
151.795854,157.595708
152.495833,158.295688
153.695812,160.695646
154.095792,162.295604
159.495667,162.695583
161.895625,163.095562
165.495521,164.295542
166.595479,166.195500
167.795417,166.995458
168.995396,167.395438
169.695375,172.295312
170.395354,172.695292
171.095333,174.295250
173.895271,176.895187
175.495229,177.595167
176.195208,178.295146
182.195042,178.695125
182.895021,179.895104
184.794979,180.295083
185.494958,181.495062
185.894937,183.595000
186.294917,186.694896
187.894875,190.194813
188.294854,190.894792
188.994833,192.094771
192.494750,193.194729
195.094687,193.894708
196.194646,195.794667
198.094604,197.394625
200.394542,199.294583
201.594479,199.994563
204.594396,200.794521
204.994375,201.194500
206.194354,202.294458
208.094313,202.694437
209.994271,203.894417
210.394250,206.894333
212.794208,208.794292
214.194167,211.594229
214.594146,213.494188
215.794125,216.994104
219.394062,218.194083
219.794042,220.494021
221.694000,222.093979
228.593771,222.493958
229.293750,222.893937
233.593625,223.293917
235.493583,223.693896
236.693563,224.393875
237.393542,224.793854
239.993479,225.493833
241.193458,226.693813
242.693396,227.893792
243.893375,230.493729
244.293354,230.893708
246.893292,232.093687
248.793250,232.493667
250.393208,232.893646
251.593187,234.293604
252.793167,238.593521
253.193146,239.293500
253.593125,241.593437
254.293104,241.993417
255.893063,244.993333
260.092917,245.693312
261.692875,248.093271
262.392854,249.193229
263.592833,255.493083
264.692792,256.293042
265.392771,257.493021
265.792750,257.893000
268.892688,258.592979
269.292667,258.992958
272.392604,259.392938
273.592583,261.292896
273.992563,264.292813
276.392521,266.992729
276.792500,268.192708
279.592438,270.492646
281.192396,271.192625
283.592354,275.192542
287.092271,277.992479
287.892229,279.192458
288.292208,279.992417
289.492188,282.392375
291.392146,284.792333
292.592125,285.492313
292.992104,286.692292
294.192083,287.492250
297.292021,290.692167
297.692000,294.892063
298.391979,296.092042
