left_s,right_s
3.000000,4.199979
8.899875,5.399958
9.599854,5.799938
10.299833,6.999917
12.899771,7.699896
15.099687,10.999813
16.299667,12.199792
16.699646,13.299750
17.399625,13.699729
21.399542,14.399708
22.599521,18.599604
22.999500,18.999583
24.199479,20.199562
24.599458,25.699417
24.999437,26.899354
26.099396,30.999229
26.499375,31.399208
28.099333,32.499167
28.499312,33.699146
29.199292,36.099104
29.899271,36.799083
30.299250,37.499063
32.099187,38.699042
34.899125,39.399021
40.998979,40.599000
42.198958,42.598937
43.398896,42.998917
44.098875,44.798854
47.898792,45.498833
51.598646,46.698813
52.798625,48.298771
53.498604,48.998750
56.298542,49.398729
56.698521,49.798708
57.398500,50.498688
59.798417,51.198667
61.298354,54.698583
62.398313,55.898562
65.498250,57.798479
66.198229,58.998458
66.898208,59.398438
69.598125,60.198396
70.298104,60.898375
70.998083,61.998333
71.798042,63.098292
72.498021,64.298271
73.698000,67.598187
74.397979,67.998167
78.797854,69.198146
79.197833,71.398062
79.597813,75.597958
80.797792,76.297938
81.497771,76.697917
83.797708,77.397896
84.897667,78.097875
87.197604,82.697750
87.897583,83.397729
89.097562,84.497687
90.297542,85.597646
92.197500,85.997625
92.897479,90.997521
96.497375,93.297458
97.697312,94.497438
98.497271,94.897417
101.197187,96.097396
102.397167,96.897354
105.097083,97.297333
107.497042,98.097292
109.596979,99.697250
112.796896,100.397229
114.196854,100.797208
115.396792,102.797146
116.096771,103.497125
117.996729,103.897104
121.096667,106.297062
122.696625,108.197021
124.696562,108.897000
128.996479,109.996958
131.296417,110.396938
133.596354,111.596917
133.996333,113.496875
134.796292,114.596833
136.196250,114.996813
136.996208,117.296750
138.196188,119.196708
140.296125,120.396687
140.696104,122.296646
141.096083,123.096604
142.596021,123.496583
144.195979,125.896542
146.095937,127.096521
148.395875,127.796500
149.495833,129.696458
150.195812,130.896437
150.595792,131.696396
150.995771,132.396375
151.395750,134.396312
152.595729,135.496271
153.795708,136.596229
154.495688,138.896167
154.895667,139.596146
156.095646,141.796063
158.095583,142.196042
158.495563,143.796000
158.895542,145.395958
159.595521,146.795917
160.795500,147.995896
161.495479,149.095854
162.895438,157.295625
164.095417,157.695604
166.695354,162.195458
167.895333,164.795396
169.295292,165.995375
171.095229,168.595313
171.795208,169.995271
176.795104,170.695250
177.995083,172.495187
179.095042,173.695167
182.194979,174.395146
183.394958,175.595125
184.594937,178.695063
187.694833,179.795021
188.094812,180.995000
189.494771,184.994917
189.894750,185.394896
191.494708,186.094875
192.694687,186.494854
195.694604,188.794792
197.294563,190.294729
197.694542,193.894667
199.594500,194.594646
201.894438,195.294625
206.194354,196.894583
207.294312,198.394521
208.494292,199.994479
209.894250,200.694458
211.794208,203.094417
212.494188,204.294396
213.194167,204.994375
213.894146,206.594333
214.294125,209.194271
214.694104,210.594229
217.094063,215.894083
218.294042,221.993937
218.994021,223.193917
220.194000,223.893896
220.593979,224.993854
221.293958,229.993708
224.593875,233.093646
225.393833,234.293625
226.093813,235.893583
227.293792,237.293542
227.693771,237.993521
228.393750,239.093479
229.593729,239.493458
231.193688,240.193437
231.893667,242.893354
235.493604,243.293333
236.593562,244.393292
238.393500,245.093271
240.593417,245.493250
240.993396,246.193229
241.693375,248.093187
243.693312,249.993104
246.893208,251.393063
248.493167,252.593042
248.893146,253.793021
249.593125,255.392979
250.693083,255.792958
254.993000,257.692917
256.992937,258.092896
259.292875,259.692854
261.992792,260.392833
265.292667,261.592812
266.492646,262.692771
267.692625,263.092750
270.192542,263.492729
270.892521,264.192708
271.592500,264.892688
272.792479,268.392604
273.892438,269.092583
275.092417,269.792562
277.692354,273.492458
278.892333,275.792396
280.492292,276.992375
280.892271,279.292312
281.992229,281.592250
282.692208,284.292167
283.892187,284.992146
287.992062,285.692125
289.192042,286.092104
291.092000,286.792083
291.491979,289.892021
