left_s,right_s
3.000000,3.699979
6.099938,4.899958
8.699875,6.799917
9.899854,7.499896
10.599833,12.999792
11.799812,13.799750
13.399771,14.999729
16.199708,17.799667
16.599688,19.699625
18.499646,21.599583
20.899604,23.599521
21.999562,23.999500
23.199542,27.999417
25.199479,29.999354
26.399458,30.699333
26.799437,31.899313
29.199396,34.199250
29.599375,35.799208
32.599292,36.999187
32.999271,38.099146
34.599229,39.299125
37.699167,45.698937
39.999104,46.898917
40.399083,47.598896
41.099063,48.798875
41.499042,51.098813
42.699021,57.198625
43.399000,59.098583
44.098979,60.698542
45.298958,62.198479
49.498854,62.598458
50.698833,63.298437
51.798792,63.998417
52.498771,64.398396
52.898750,65.998354
54.098729,68.398313
54.498708,69.098292
55.698687,70.498250
56.098667,71.198229
56.498646,71.898208
57.898604,72.598187
59.498562,78.198063
61.098521,79.298021
61.498500,79.698000
64.798375,83.197917
67.198333,85.597833
69.798271,88.197771
72.998167,89.397750
74.198146,90.597729
75.398125,91.297708
76.598104,93.197667
76.998083,93.597646
78.898042,93.997625
80.897979,94.697604
81.597958,95.397583
82.797938,98.097500
84.397896,98.497479
84.797875,98.897458
85.197854,101.997396
86.297813,102.797354
86.997792,105.197271
92.497687,108.697187
95.797562,111.897104
96.497542,112.997062
96.897521,114.097021
100.097437,115.297000
100.797417,117.696917
102.397375,118.796875
103.197333,119.996854
103.597313,121.896812
103.997292,124.296771
105.597250,125.496750
106.297229,126.196729
107.497208,127.296688
109.897167,127.696667
110.297146,128.896646
110.697125,130.496604
112.297083,132.596542
113.697042,134.196500
115.696979,136.596458
116.096958,136.996438
116.496938,138.196417
118.396896,139.396396
121.196833,141.296354
123.096792,141.996333
126.596708,145.496250
130.096625,148.096188
131.196583,149.996146
131.896562,150.696125
132.996521,151.796083
135.396479,152.496062
140.096375,155.195979
142.396312,158.995854
143.096292,160.895813
144.296271,162.795771
146.196229,165.495688
147.396208,166.595646
149.296167,168.495604
151.096104,169.595562
152.896042,170.295542
154.096021,170.695521
154.796000,171.895500
155.595958,173.095479
156.295938,173.495458
157.495917,173.895438
157.895896,174.595417
158.595875,175.295396
160.195833,177.695354
161.595792,178.895333
163.995750,181.295250
164.395729,185.295167
165.095708,185.995146
166.195667,186.395125
167.295625,187.095104
168.895583,187.795083
176.495375,188.995021
179.295312,191.794958
179.695292,192.494937
180.095271,192.894917
182.495229,194.094896
183.695208,195.294875
184.895187,197.994792
188.195063,199.894750
188.595042,203.194667
190.195000,204.394646
190.594979,205.094625
196.494854,207.194562
196.894833,209.094521
197.594812,209.794500
199.194771,211.394458
200.594729,212.794417
201.294708,213.194396
201.994687,213.894375
205.794604,216.894292
206.494583,218.494250
208.394542,218.894229
210.194479,219.294208
212.094437,221.194167
214.594354,222.394146
215.294333,225.494083
215.694312,226.194063
217.294271,228.093979
219.994188,228.793958
223.594125,229.993937
224.794104,230.393917
226.594042,231.093896
226.994021,233.493854
227.694000,236.093792
232.293875,236.793771
234.693833,239.193729
235.393812,241.093687
237.993750,241.793667
240.393708,244.493583
242.193646,247.293521
243.393625,248.393479
244.093604,249.593458
244.893563,250.793438
246.093542,252.393396
247.993500,254.393333
251.193417,255.193292
252.793375,255.893271
253.193354,256.293250
254.793313,257.493229
257.893208,259.493167
258.293187,260.293125
259.893146,260.693104
263.693021,261.893083
267.292958,262.593062
268.492937,263.293042
269.192917,264.893000
273.092812,266.092979
274.292792,270.392896
274.992771,271.092875
275.392750,271.492854
276.992708,271.892833
278.192687,275.792729
280.092646,278.892667
281.192604,280.792625
284.792542,282.392583
285.492521,283.592562
286.292479,285.892500
286.692458,288.692396
287.892438,291.492333
288.292417,292.192313
289.092375,292.892292
290.292354,293.592271
294.292250,295.392208
294.692229,296.792167
296.092188,298.392125
297.992146,299.592104
