left_s,right_s
5.799938,3.000000
6.899896,3.399979
10.399812,4.599958
11.599750,6.499917
12.299729,8.099875
12.999708,8.799854
14.199687,9.999833
14.599667,10.799792
14.999646,11.199771
16.499583,15.399625
19.599521,16.099604
20.299500,17.199562
20.699479,18.399542
21.099458,22.299437
22.699417,23.899396
24.299375,24.999354
25.699333,26.399313
29.099229,26.799292
33.799125,27.999271
34.499104,28.699250
35.899062,30.299208
38.299021,31.499188
39.398979,32.699167
41.798938,33.099146
42.898896,35.199083
44.098875,37.099042
46.398812,38.699000
46.798792,40.598958
49.998708,42.198917
50.398688,44.798854
54.798583,45.998833
55.998562,47.198771
56.698542,47.598750
57.398521,48.798729
58.098500,51.598667
58.798479,51.998646
61.898417,53.198625
62.298396,53.598604
62.698375,59.998458
63.498333,61.198437
64.298292,63.098354
68.098208,63.898313
69.298187,64.998271
73.098104,66.198250
73.898062,66.898229
74.598042,69.998167
76.498000,70.698146
77.897958,71.898125
78.597938,73.498083
78.997917,75.298021
83.797833,77.197979
84.597792,80.197896
84.997771,81.397875
86.197750,82.597854
88.497687,84.197812
89.197667,87.397729
89.597646,87.797708
89.997625,91.597583
91.197604,92.697542
91.997563,93.097521
94.297500,94.997479
96.197458,97.397437
99.297396,98.097417
101.197354,100.497375
104.297292,102.397333
105.497271,103.597313
106.897229,106.197250
107.597208,108.397167
107.997187,109.497125
109.097146,110.197104
110.597083,110.997062
112.597021,112.197042
113.797000,114.196979
114.896958,116.096937
118.796854,116.496917
120.696812,116.896896
121.396792,117.596875
122.496750,119.496833
123.296708,121.796771
123.996687,122.896729
125.896604,124.396667
127.496562,124.796646
128.596521,125.496625
129.296500,127.096583
129.696479,127.896542
132.796417,130.896458
133.196396,132.096438
133.596375,134.396333
133.996354,135.096313
135.896271,135.496292
136.596250,140.096167
137.796229,141.696083
138.196208,142.096062
138.896187,142.796042
140.496146,145.195958
140.896125,145.895938
141.296104,148.595854
143.196021,150.395792
143.596000,151.095771
144.795979,151.795750
147.095917,155.795667
147.495896,158.095604
148.195875,159.295542
149.295833,159.695521
149.995812,161.995458
152.995729,163.195437
153.395708,163.895417
154.595687,164.595396
156.495646,165.795375
157.695625,167.695333
158.495583,168.095313
158.895563,168.495292
160.095500,169.695271
161.295479,171.295229
166.495354,173.195188
170.895250,173.595167
172.495208,180.894958
174.295146,182.094937
174.695125,183.194896
175.095104,184.394875
176.295083,185.994833
176.995062,186.394813
177.395042,187.594792
178.595021,188.294771
179.795000,189.494750
180.494979,191.394708
182.494917,192.094687
185.594854,195.094604
190.694729,196.294583
193.294667,198.194542
193.994646,199.394521
194.394625,202.694437
196.994563,203.394417
200.094500,205.294375
201.294479,206.494354
201.994458,208.894313
204.594396,209.294292
207.694333,210.094250
209.694271,210.494229
211.194208,212.294167
211.594188,217.094021
212.694146,217.794000
213.394125,218.993979
214.094104,219.393958
214.794083,219.793937
215.994063,221.593875
216.394042,222.793854
220.193917,223.493833
220.893896,225.093792
223.893812,225.493771
228.593708,226.193750
229.293688,227.393729
229.993667,230.693646
231.393625,232.093604
232.793583,234.193542
233.493562,234.893521
235.593500,236.293479
237.093437,236.693458
240.093354,237.793417
240.493333,238.193396
241.593292,238.893375
247.093187,241.193312
247.493167,242.293271
248.593125,243.493250
249.393083,244.693229
250.493042,245.893208
252.093000,248.193146
256.192875,248.993104
256.892854,249.793062
258.092833,250.893021
264.392688,252.492979
265.592667,253.192958
267.892604,253.592938
268.592583,254.792917
270.692521,255.492896
274.192437,259.292813
274.892417,259.992792
276.092396,260.392771
277.692354,261.592750
278.392333,262.792729
279.192292,263.192708
280.392271,266.792646
281.592250,267.492625
282.692208,269.292562
285.492146,269.992542
286.692125,271.392500
287.392104,272.592479
289.292062,273.792458
289.992042,277.292375
290.392021,278.792312
291.092000,281.992229
291.491979,283.092188
292.191958,284.292167
293.391937,288.592083
294.491896,294.091917
295.191875,295.891854
