left_s,right_s
8.799854,3.000000
9.999833,3.399979
11.199813,4.099958
12.799771,4.499937
13.599729,5.699917
17.199604,6.399896
18.799563,7.599875
19.899521,12.399792
20.999479,13.199750
22.199458,14.299708
26.099354,14.999688
27.299333,15.399667
29.099271,15.799646
30.999229,16.499625
32.199208,18.399583
33.399187,19.199542
33.799167,20.599500
34.999146,22.899438
37.299083,24.099417
39.699042,24.499396
40.399021,25.699375
40.799000,27.999312
41.198979,28.699292
41.898958,29.799250
44.798854,36.199125
51.898708,36.899104
52.298687,38.499063
52.998667,42.598937
54.198646,43.298917
54.598625,43.998896
55.298604,44.398875
56.498583,45.998833
57.698563,47.198813
58.098542,48.398792
58.798521,48.798771
59.998500,49.998750
61.998438,51.198729
62.398417,61.198479
63.598396,61.598458
66.198333,64.798375
67.398313,65.498354
70.198250,68.598292
72.698167,69.798271
73.098146,70.598229
78.098000,71.298208
81.797896,71.998188
83.697854,73.498125
84.897833,74.198104
85.297813,74.598083
93.397604,75.298063
94.597583,76.498042
95.797562,77.698021
96.997542,79.297979
97.397521,79.997958
97.797500,80.697937
98.197479,81.097917
102.697375,82.997875
103.097354,85.697792
103.497333,86.397771
104.697312,87.597750
107.497229,87.997729
107.897208,88.697708
111.697125,89.397688
112.097104,90.597667
115.797000,91.797646
117.396958,92.197625
118.096937,98.897458
118.496917,99.597437
120.496854,100.297417
123.196771,101.497396
124.796729,105.397292
125.596688,106.097271
126.796667,106.797250
127.196646,108.597188
127.896625,109.297167
128.296604,110.497146
128.996583,112.797083
130.196562,113.197063
131.996500,113.897042
134.196417,115.097021
136.596375,116.996979
136.996354,118.896896
137.396333,119.296875
138.596313,121.196833
139.796292,121.596812
140.496271,122.796792
141.696250,123.596750
142.396229,125.196708
144.796188,130.596542
146.396146,131.296521
147.596125,132.696479
149.196083,133.096458
149.896062,133.796437
151.096042,135.396396
153.895979,143.596208
155.395917,145.196167
156.095896,148.796104
158.895833,152.296021
159.595812,153.496000
164.595667,154.595958
168.395583,154.995937
169.195542,156.495875
171.095500,157.695854
174.095417,159.995792
175.295396,160.695771
176.395354,161.895750
179.495292,162.295729
180.695229,162.695708
181.895208,163.395688
182.595188,165.295646
183.795167,166.495625
185.395125,167.695604
186.195083,168.795562
188.095042,169.895521
188.795021,171.795479
189.495000,172.195458
191.394958,172.895438
192.894896,175.695375
194.094875,177.095333
194.794854,178.295312
195.494833,179.895271
196.694813,180.295250
197.794771,184.995146
199.694729,185.795104
200.094708,187.395062
201.294688,190.194979
202.694646,191.794938
205.394563,192.194917
205.794542,197.394792
206.494521,198.994750
207.194500,201.994667
208.394479,203.094625
208.794458,204.294604
210.394417,204.994583
212.294375,209.194437
213.494354,211.094396
214.694333,218.194250
215.894313,219.794208
217.094292,220.894167
217.494271,223.494104
218.594229,225.394062
220.194187,227.394000
221.594146,227.793979
222.794125,230.193938
224.194083,234.093833
225.794042,237.993729
226.194021,239.193708
228.993958,240.393687
231.393917,240.793667
231.793896,241.493646
232.193875,244.293583
232.893854,246.293521
235.293813,246.993500
236.493792,248.593458
236.893771,249.693417
237.593750,250.393396
241.893625,251.093375
243.093604,252.493333
245.493562,253.693312
245.893542,257.593208
247.393479,258.793146
248.993437,259.193125
251.793354,260.393104
254.893292,261.593083
256.093271,264.693021
256.793250,267.492958
257.193229,268.292917
257.993187,269.492896
258.393167,270.592854
262.293063,270.992833
263.493042,272.892792
265.893000,273.292771
266.292979,276.392708
267.892938,277.592688
269.892875,281.992563
272.192813,283.192500
274.492750,284.692437
275.692729,285.092417
278.792667,286.892354
279.492646,288.092333
279.892625,289.292312
280.592604,289.692292
281.292583,290.092271
282.392542,290.492250
282.792521,290.892229
283.592479,291.592208
283.992458,292.792188
285.792396,293.492167
286.492375,294.692146
295.392125,296.092104
297.192063,296.492083
299.492000,297.892042
303.291917,298.292021
303.991896,300.691979
