left_s,right_s
3.000000,4.099958
3.699979,7.099875
4.499937,7.799854
5.199917,9.699813
6.399896,12.099771
8.499833,13.199729
10.899792,15.499667
12.499750,16.199646
13.599708,16.899625
14.299687,18.099604
19.299583,19.699562
23.099458,20.399542
23.499437,20.799521
24.899396,21.999500
25.599375,22.399479
26.799354,24.199417
27.199333,28.399313
29.099292,29.799271
31.399229,30.199250
33.399167,31.799208
34.199125,32.199188
34.899104,33.799146
36.899042,36.099083
37.299021,36.499063
37.999000,39.898958
39.198979,41.098937
42.298917,44.998833
43.498896,47.098771
43.898875,48.298750
44.298854,48.998729
45.698813,49.398708
46.398792,49.798687
51.698646,50.498667
54.098604,52.898625
55.198563,54.798583
57.498500,55.898542
58.698479,57.098521
60.598438,59.398458
61.998396,61.298417
63.598354,63.198375
64.298333,66.198292
64.998312,66.898271
69.298229,68.098250
71.698188,70.498208
73.198125,72.098167
75.498063,72.498146
75.898042,74.398104
79.097958,74.798083
79.497938,76.298021
79.897917,76.698000
80.297896,77.897979
80.997875,81.797833
81.397854,82.497812
83.597771,83.197792
84.797750,85.997729
87.097688,86.697708
89.497646,88.297667
93.097521,90.197625
93.797500,90.897604
96.197458,91.297583
96.897437,91.997563
99.997375,92.397542
103.897271,94.997479
105.797229,98.097417
106.997208,98.797396
107.397188,100.697354
109.797146,101.897333
110.497125,103.097313
114.997021,103.497292
115.397000,104.597250
119.296896,108.597167
123.496792,111.697104
124.596750,112.897083
124.996729,113.597063
126.496667,114.297042
127.196646,116.096979
128.396625,117.296958
128.796604,118.496938
129.196583,118.896917
130.796542,120.496875
133.396479,121.696854
134.196438,122.396833
135.396417,122.796813
138.096333,124.196771
138.796312,125.696708
139.996292,126.096688
141.596250,130.396562
143.496208,131.996521
143.896187,132.696500
144.996146,133.796458
149.496042,136.096396
151.396000,137.296375
152.795958,137.696354
153.995937,141.196271
155.195917,142.296229
156.395896,144.296167
159.995792,145.696125
161.995729,146.396104
162.695708,147.596083
163.795667,148.796063
165.795604,150.196021
168.195562,152.095979
169.395542,157.595875
170.095521,157.995854
173.195458,158.395833
175.095417,159.595812
176.295396,160.395771
177.495375,161.595750
178.695354,163.095687
179.395333,164.995646
180.595271,165.395625
180.995250,166.995583
181.395229,170.795500
181.795208,171.995479
182.995187,174.395438
183.795146,179.795312
184.195125,180.195292
184.895104,183.395167
185.295083,186.395042
185.995062,186.795021
187.195000,188.394979
190.994917,189.094958
191.694896,189.794938
192.394875,194.694813
193.094854,196.294771
194.294833,198.394708
195.094792,199.594687
196.994750,200.294667
197.694729,202.894604
200.994646,203.594583
201.694625,204.794563
206.394521,205.194542
206.794500,207.194479
208.394458,209.094437
210.694396,210.294417
211.394375,213.294333
212.594354,213.994313
215.194292,215.894271
217.094250,217.494229
219.394187,218.694208
220.594167,221.294146
221.694125,222.794083
222.094104,223.494063
224.694042,226.594000
225.394021,231.893854
227.293979,232.293833
227.693958,236.893708
228.893937,238.893646
230.093917,239.593625
230.493896,240.293604
231.193875,240.693583
233.493812,241.393563
233.893792,242.093542
234.293771,244.893479
234.993750,249.093375
235.693729,249.793354
237.293688,250.893313
237.693667,253.293271
243.293521,253.993250
243.693500,255.893208
245.593458,256.293187
245.993437,259.793104
247.193417,260.993083
247.893396,263.593021
250.493333,264.692979
252.093292,265.892958
254.693229,267.092938
257.493167,268.292917
257.893146,268.692896
259.093125,269.092875
262.193062,269.792854
262.893042,272.592792
263.993000,272.992771
270.192833,274.192750
271.392812,275.392729
275.792708,277.692625
276.192687,278.092604
276.592667,281.192542
277.292646,281.592521
278.792583,282.292500
279.992563,282.692479
283.892458,284.992417
284.592438,286.192396
287.392375,288.592354
288.992333,291.592271
289.692313,292.792250
290.892292,293.192229
294.392208,295.592188
296.292167,299.092104
