left_s,right_s
3.000000,4.199979
4.599958,4.999937
8.399833,5.399917
10.599750,6.099896
10.999729,7.299875
12.599687,7.999854
14.499646,8.799812
17.599583,9.499792
18.799563,9.899771
21.899500,12.199708
22.299479,13.799667
23.899438,15.199625
24.599417,16.399604
25.699375,19.499542
26.099354,20.699521
28.499312,22.699458
31.199229,25.299396
32.399208,27.299333
34.799167,29.199292
35.199146,29.599271
38.399062,29.999250
39.099042,33.599187
40.699000,36.399125
41.098979,36.799104
41.498958,37.999083
41.898938,39.499021
43.298896,42.598917
45.198854,43.998875
45.898833,48.198771
46.598813,50.998708
47.798792,52.598667
49.398750,52.998646
49.798729,54.198625
52.198687,57.298563
54.898604,60.998458
56.098583,62.598417
58.498542,63.998375
59.198521,66.298312
59.898500,66.698292
60.598479,68.598250
62.198437,70.198208
63.298396,71.798167
65.198354,73.198125
65.598333,73.598104
67.398271,74.798083
68.998229,78.598000
70.598187,79.797979
72.498146,80.497958
75.498063,81.197937
76.698042,82.397917
77.898021,84.197854
83.097896,88.397750
83.497875,89.097729
84.897833,90.597667
86.097813,92.497625
86.797792,94.097583
87.997771,95.697542
89.497708,97.797479
90.197688,100.597417
91.297646,101.797396
92.897604,103.997313
95.297562,105.897271
96.397521,107.797229
97.097500,108.197208
98.997458,109.397188
100.197438,109.797167
102.497375,110.497146
102.897354,111.197125
103.597333,111.897104
104.697292,112.297083
107.097250,113.497062
114.197042,114.597021
117.396958,115.797000
118.096937,116.996979
119.296917,119.696896
123.196771,120.096875
123.596750,121.296854
123.996729,121.696833
125.896687,122.396812
126.696646,122.796792
128.696583,125.196708
132.196500,126.296667
133.796458,127.096625
136.396396,127.496604
137.096375,129.896562
138.996333,130.596542
139.696313,131.796521
140.796271,133.396479
142.696229,134.496438
143.396208,135.196417
145.396146,137.796354
145.796125,140.396292
148.396062,141.996250
149.596042,143.796188
151.895979,144.996167
152.595958,146.996104
153.795938,147.696083
154.895896,149.996021
156.495854,151.196000
158.395813,154.195917
160.295771,155.295875
160.695750,157.695833
162.295708,159.095792
162.695687,161.095729
163.395667,164.595646
164.995625,165.695604
167.595562,166.395583
168.695521,168.295542
171.695437,169.895500
172.395417,170.595479
174.295375,170.995458
175.395333,173.595396
176.095313,174.995354
179.795208,176.795292
180.495187,177.195271
181.195167,177.895250
184.195083,179.095229
184.595063,181.895146
185.795042,182.595125
186.995021,182.995104
187.794979,187.395000
188.994958,189.694938
191.294896,190.094917
192.694854,191.994875
196.594708,193.094833
197.294688,193.494812
197.994667,194.694792
200.794604,195.094771
201.994583,195.794750
205.994479,196.194729
211.094354,198.394646
211.894313,199.594625
212.294292,203.194562
213.694250,203.894542
214.894229,204.594521
217.194167,205.294500
218.594125,207.194458
219.294104,208.394438
219.994083,208.794417
221.194063,209.494396
222.394042,209.894375
223.794000,211.494333
224.193979,212.994271
224.893958,215.294208
225.293937,215.994188
225.993917,217.894146
229.993833,223.094021
235.193729,227.193896
235.893708,228.393875
236.593687,228.793854
239.693625,231.193813
240.393604,232.393792
242.293563,233.593771
243.393521,234.793750
244.593500,237.293667
247.193437,238.493646
249.893354,241.593583
252.993292,242.693542
254.893250,245.293479
255.693208,245.993458
256.093187,247.593417
256.793167,247.993396
257.193146,249.193375
257.893125,250.593333
258.593104,251.793313
261.693042,254.193271
262.393021,255.293229
263.593000,259.793083
264.792979,260.493063
265.492958,266.892917
266.192938,267.592896
271.192833,268.792875
272.992771,269.992854
273.392750,271.892812
273.792729,272.592792
274.192708,275.392688
275.792667,278.892604
276.992646,280.092583
277.692625,281.292562
282.092521,281.692542
282.492500,284.392417
283.192479,285.092396
283.592458,286.292375
283.992437,286.692354
287.792312,287.092333
288.992292,290.492229
289.392271,291.692208
289.792250,293.692146
292.092188,294.392125
292.492167,295.092104
295.492083,297.092042
295.892063,298.492000
297.792021,299.691979
