left_s,right_s
3.399979,3.000000
5.999917,4.099958
8.799854,4.799938
9.499833,7.199896
10.599792,7.599875
11.299771,10.199813
12.699729,11.999750
14.099687,13.399708
16.499604,14.499667
18.099563,15.699646
21.599479,16.099625
21.999458,16.899583
22.699437,18.799542
24.599354,19.999521
25.799333,20.399500
27.599271,23.099417
33.299146,23.799396
33.699125,24.199375
34.899104,26.499312
37.199042,26.899292
40.498958,28.799250
42.398917,29.499229
42.798896,30.699208
43.898854,31.899188
45.098833,32.599167
46.298812,35.599083
46.698792,36.799062
47.398771,37.899021
48.098750,38.599000
51.598667,39.798979
52.798646,41.198937
53.498625,43.498875
55.998542,49.298729
58.798479,50.498708
59.898438,51.198687
60.998396,54.198604
63.998312,54.898583
66.398271,55.298563
66.798250,57.198521
67.998229,57.598500
69.198208,59.198458
70.798167,60.598417
76.398021,61.698375
77.497979,62.898354
77.897958,63.598333
79.097938,65.198292
82.397854,69.598187
87.297729,71.498146
87.997708,72.198125
89.197688,72.598104
91.097646,73.798083
96.697521,74.998063
99.497458,75.698042
102.997375,76.798000
104.397333,79.797917
106.797292,80.997896
107.997271,81.697875
111.097208,83.597833
112.297188,84.797813
114.997104,85.497792
116.897021,85.897771
120.696938,86.597750
121.396917,90.397667
125.496792,92.297625
127.396750,93.497604
127.796729,93.897583
129.696687,94.297562
130.896667,95.497542
131.296646,97.897500
132.396604,98.297479
133.196562,100.197438
135.796458,100.597417
137.696417,101.797396
139.096375,103.697354
140.296354,105.597313
142.596250,108.697250
142.996229,109.897229
144.396187,112.697167
148.396104,113.897146
148.796083,114.297125
151.096021,115.697083
151.496000,116.097063
151.895979,116.497042
152.595958,118.097000
154.895896,119.296979
155.595875,119.996958
156.295854,122.096896
157.495833,122.496875
159.095792,123.696854
159.795771,124.096833
161.395729,124.796813
161.795708,126.196771
162.195687,128.496708
167.395583,131.996625
168.595562,132.796583
169.795542,133.596542
170.995521,133.996521
171.695500,134.396500
172.395479,135.096479
172.795458,136.496438
173.195437,138.396396
175.495375,140.696333
179.295292,141.096313
180.495271,141.496292
181.695250,142.196271
182.095229,143.696208
182.795208,145.596167
183.995146,146.796146
184.395125,147.196125
184.795104,149.996062
185.495083,150.696042
186.195063,153.795938
186.895042,154.495917
189.894958,158.695812
191.094937,160.995750
191.794917,163.395667
192.994896,164.595646
193.394875,165.795625
195.294833,166.195604
195.994812,174.395417
196.694792,174.795396
198.994729,176.195354
199.394708,177.395333
200.094687,178.595313
200.794667,183.195188
201.994646,183.595167
202.694625,187.595021
203.394604,188.795000
203.794583,189.194979
204.994563,194.094854
206.194542,197.894771
207.794500,198.294750
210.594437,206.594521
211.794417,208.994479
214.094354,209.394458
215.494313,212.194396
216.694292,212.894375
219.794229,214.794333
220.194208,217.894271
223.194125,218.594250
226.094021,221.394187
226.494000,221.794167
227.593958,222.494146
227.993937,223.594104
228.693917,224.294083
230.593875,224.994063
232.893812,225.694042
233.593792,227.193979
234.693750,229.893896
235.393729,231.793854
236.593708,232.493833
237.293688,233.993771
239.893625,237.993667
240.693583,239.193646
242.593542,240.293604
243.793521,241.893563
244.893479,244.193500
246.793438,245.593458
247.993417,250.393375
249.193396,251.793333
251.093354,253.393292
252.993313,254.993250
253.793271,256.193229
256.593208,259.693146
257.793187,261.193083
258.493167,264.193000
260.093125,265.792958
260.493104,266.592917
261.593062,266.992896
262.793042,269.392854
263.493021,270.592833
265.392979,270.992813
266.192938,273.392771
268.192875,274.092750
272.192792,274.792729
276.192687,275.492708
277.792646,277.392667
278.892604,278.492625
280.092583,282.692521
281.292562,283.092500
281.992542,283.492479
284.192458,284.892438
285.292417,285.992396
287.892354,286.692375
290.292271,288.292333
291.492250,288.692313
292.692229,289.092292
293.892208,295.392146
294.292188,295.792125
294.692167,296.492104
298.092062,297.692083
299.192021,298.492042
