left_s,right_s
3.000000,3.699979
9.499792,4.099958
10.599750,4.799938
12.899688,5.999917
13.299667,7.199896
13.999646,7.899875
15.599604,8.299854
16.299583,8.699833
18.999500,9.099813
19.699479,9.899771
22.799417,11.799729
23.499396,12.499708
25.399354,14.399625
27.799312,16.699562
29.699271,17.099542
30.899250,18.299521
34.399167,20.899458
36.799125,22.099438
39.199083,24.199375
40.399062,26.599333
42.299021,28.999292
44.298958,32.099229
47.498854,32.799208
49.398812,33.999187
51.998750,35.599146
52.398729,37.999104
54.298687,41.599042
54.998667,43.499000
56.998604,43.898979
57.398583,44.698937
58.198542,45.398917
58.898521,46.098896
59.698479,46.798875
60.898458,48.698833
63.298417,50.098792
63.998396,51.298771
64.698375,53.598708
66.598333,55.398646
67.298312,55.798625
68.498292,57.798563
70.298229,59.298500
71.098187,62.098438
72.298167,65.898354
74.598104,69.198271
75.298083,69.898250
75.698063,70.698208
76.398042,72.998146
77.798000,74.198125
78.197979,77.098021
79.997917,78.897958
81.397875,79.597938
81.797854,80.697896
82.497833,82.897813
84.997750,83.597792
86.197729,84.297771
87.297687,86.597708
88.397646,87.997667
89.497604,89.097625
90.697583,91.797542
91.097562,92.197521
94.097479,93.397500
95.297458,96.397417
95.997438,97.197375
96.797396,97.597354
99.197312,98.797333
99.597292,100.797271
102.197229,101.497250
103.797188,102.597208
106.197104,104.997167
106.897083,105.397146
107.297062,105.797125
110.696958,107.697042
111.896938,108.097021
113.796896,108.797000
114.996875,109.496979
116.596833,113.096917
116.996813,116.196854
117.396792,118.096771
119.196729,118.796750
119.596708,121.196667
120.796688,121.596646
122.796625,123.196604
123.596583,123.996562
125.396521,124.696542
125.796500,126.496479
128.396437,127.696458
129.596417,131.196375
130.796396,132.396354
134.596271,133.096333
135.796250,133.496312
140.896125,133.896292
142.796083,136.496229
143.196063,136.896208
145.096021,138.096188
145.496000,139.296167
146.195979,140.496146
146.895958,141.596104
148.095937,144.396042
148.495917,150.395875
149.695896,151.095854
153.695792,151.795833
154.395771,152.995812
156.795729,155.595750
158.595667,157.495708
159.295646,158.195687
161.995563,160.495625
164.695479,161.195604
165.095458,161.595583
165.495438,162.695542
165.895417,163.095521
167.495375,164.295500
167.895354,167.095396
168.995313,168.295333
169.395292,169.795271
172.095208,170.995250
176.295104,171.395229
177.495083,172.795187
178.195063,173.995167
178.895042,174.695146
179.595021,175.895125
181.194979,179.995000
182.394958,183.594937
184.794917,187.194875
185.994896,189.094833
187.894854,189.494812
191.394771,190.194792
192.894708,191.794750
193.594687,192.494729
195.494604,193.994667
195.894583,194.694646
196.594562,195.094625
197.294542,198.394500
197.694521,199.094479
200.294458,202.194417
200.994438,203.994354
202.894396,204.694333
203.594375,205.894313
207.094292,207.794271
208.994250,213.294125
209.694229,214.694083
210.894208,215.094063
212.094188,215.794042
212.494167,216.494021
212.894146,216.894000
213.994104,217.293979
217.693958,219.293917
218.093938,220.493896
222.293833,221.193875
223.493812,221.893854
224.593771,223.893792
227.293688,224.993750
228.493667,225.393729
229.193646,226.593708
231.093604,230.393625
231.793583,233.293521
232.193563,234.893479
232.593542,235.293458
234.493500,238.793375
235.693437,239.993354
236.393417,241.193333
237.593396,242.393313
246.193229,243.093292
247.393208,244.293271
248.593187,244.993250
252.093104,249.793167
252.493083,250.193146
258.692958,250.893125
261.192875,253.193062
261.592854,254.393042
262.292833,255.593021
263.492813,256.793000
268.392688,257.492979
269.992646,259.392938
270.692625,259.792917
271.892604,260.492896
272.292583,264.692792
273.692542,265.092771
274.392521,265.792750
276.392458,266.492729
277.592438,267.192708
279.492396,269.592667
280.192375,272.992563
280.892354,275.592500
282.492313,275.992479
283.692250,278.792417
284.392229,281.292333
284.792208,282.892292
286.592146,283.292271
287.392104,285.492188
288.092083,285.892167
289.292062,286.992125
291.592000,290.492042
292.791979,291.192021
