left_s,right_s
4.199979,3.000000
6.599938,5.399958
6.999917,11.699813
7.699896,12.399792
8.899875,12.799771
9.299854,13.499750
10.499833,14.599708
14.199729,14.999688
17.599625,15.699667
21.799479,16.899646
26.399354,18.299604
26.799333,18.699583
27.499312,19.899562
28.599271,20.299542
29.399229,20.699521
30.099208,21.099500
31.299187,22.499458
34.799104,22.899438
35.499083,23.299417
36.699062,23.999396
41.098917,25.199375
42.698875,27.899292
43.398854,28.999250
44.098833,32.499167
44.798812,33.199146
47.098750,33.599125
49.498708,37.099042
51.398667,37.499021
52.598646,37.899000
55.598562,38.298979
56.698521,38.698958
58.598479,39.898938
59.798458,42.298896
61.298396,45.998792
62.398354,46.698771
64.998292,48.298729
66.898250,50.698687
67.298229,53.798625
68.498167,54.198604
68.898146,54.898583
72.098062,55.998542
73.198021,57.398500
76.297958,60.498438
77.497938,60.898417
78.897896,61.698375
80.497854,63.598333
80.897833,64.298312
84.397750,65.698271
85.197708,67.698208
85.597688,68.098187
85.997667,69.298125
87.097625,70.498104
88.297604,70.898083
89.497583,72.498042
90.197563,74.398000
91.697500,75.597979
93.697438,78.197917
94.897417,79.297875
97.997354,82.097813
100.297292,82.797792
100.697271,83.197771
101.397250,84.797729
102.497208,86.697646
102.897188,90.597542
103.297167,91.297521
104.497146,92.897479
105.197125,93.297458
105.897104,96.097396
107.797021,96.797375
108.497000,99.197333
109.696979,99.597313
110.896958,101.797229
113.296917,106.597083
113.696896,106.997062
115.296854,107.397042
115.696833,112.096937
116.896812,114.096875
119.596729,117.296792
119.996708,117.696771
121.196687,118.396750
121.996646,121.596667
123.896604,123.196625
125.096583,126.896521
125.796562,127.596500
126.196542,127.996479
129.796417,128.696458
130.496396,129.096438
130.896375,132.496333
131.296354,134.396292
133.696313,135.096271
135.796250,136.996229
137.396208,138.596188
139.696146,138.996167
140.896125,143.996062
142.096104,145.996000
142.796083,147.195979
145.196042,149.095937
145.596021,149.795917
148.395958,150.195896
150.895875,152.095854
152.495833,155.195750
153.195812,156.395729
153.595792,158.395667
154.795771,160.495604
156.795708,161.195583
157.995688,161.895563
159.095646,163.095542
159.795625,163.795521
164.495500,165.695479
167.595438,166.895458
168.295417,170.895354
168.995396,172.795312
170.195375,173.995292
171.595333,176.395250
175.195271,179.995187
177.595229,181.195167
178.795208,183.495104
182.395146,184.195083
182.795125,184.595063
185.795042,186.495021
188.394979,187.195000
192.394896,189.594958
195.694813,190.794938
197.594771,191.994917
198.794750,193.094875
199.194729,194.294854
199.894708,194.994833
200.994667,196.394792
202.194646,200.594687
203.994583,202.594625
204.394563,203.294604
206.294521,205.094542
207.494500,208.194479
208.894458,210.794417
209.594437,211.494396
215.494313,212.694375
215.894292,213.894354
217.094271,214.294333
218.194229,217.794250
220.594188,219.394208
222.494146,221.294167
223.694125,225.594083
224.894104,226.694042
225.994063,227.894021
229.493979,229.094000
234.993833,229.893958
236.193813,231.093938
237.393792,232.293917
238.093771,232.993896
238.493750,234.193875
240.393708,234.593854
241.093687,239.693729
251.293417,241.493667
251.993396,242.193646
252.393375,242.893625
253.093354,244.093604
254.293333,244.793583
254.993313,245.993562
255.793271,246.693542
256.193250,247.893521
257.593208,248.593500
259.493167,248.993479
261.393125,249.693458
262.593104,250.893438
264.493063,255.393292
264.893042,256.893229
265.993000,258.293187
266.692979,260.693146
267.892958,263.793083
269.792917,265.593021
270.192896,268.592938
270.892875,272.292833
271.592854,272.992813
275.292708,273.392792
276.092667,273.792771
277.192625,274.192750
278.792583,274.592729
279.992563,275.692687
280.692542,276.492646
281.092521,277.592604
281.492500,282.692479
283.892458,284.992417
284.592438,285.392396
286.592375,287.792354
288.192333,288.992292
288.592312,289.692271
292.792208,290.892250
293.492188,292.092229
294.592146,294.192167
295.392104,294.992125
297.792062,296.592083
299.692021,298.992042
