story_a_side,story_b_side,story_a_voice,story_b_voice,condition_label,target,thisN,thisTrialN,thisRepN,key_resp_prompt.keys,key_resp_prompt.rt,key_resp_prompt.duration,condition_trials.thisRepN,condition_trials.thisTrialN,condition_trials.thisN,condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instructions.started,text_instructions.started,Instructions.stopped,key_instructions.keys,key_instructions.rt,key_instructions.duration,ConditionPrompt.started,text.started,key_resp_prompt.started,ConditionPrompt.stopped,condition_trials.key_resp_prompt.keys,condition_trials.key_resp_prompt.rt,condition_trials.key_resp_prompt.duration,Bips.started,bip.started,bip.stopped,Bips.stopped,audiofile_path,attended_story,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.06217080005444586,0.07833140005823225,2.01282689999789,3.734678899985738,space,3.6410236000083387,None,,,,,,,,,,,,,,pilot,001,2025-12-19_18h01.24.241,dichotic_listening,,2025.2.3,59.57860054013289,2025-12-19 18h01.24.411248 -0300,
right,left,M,F,FR_ML_BA,Left,0,0,0,space,5.389483899925835,None,0,0,0,6,0,0,0,0,9.179301999974996,,,,,,,,,3.7445722999982536,3.761759200016968,3.761759200016968,9.165234900079668,space,5.389483899925835,None,9.16658900002949,9.179604866720426,10.212784199975431,10.198068900033832,,,pilot,001,2025-12-19_18h01.24.241,dichotic_listening,,2025.2.3,59.57860054013289,2025-12-19 18h01.24.411248 -0300,
right,left,M,F,FR_ML_BA,Left,1,0,1,space,5.389483899925835,None,0,0,0,6,1,0,1,0,10.212784199975431,,,,,,,,,,,,,,,,10.198996299994178,10.212800166748154,11.245968600036576,11.229667100007646,,,pilot,001,2025-12-19_18h01.24.241,dichotic_listening,,2025.2.3,59.57860054013289,2025-12-19 18h01.24.411248 -0300,
right,left,M,F,FR_ML_BA,Left,2,0,2,space,5.389483899925835,None,0,0,0,6,2,0,2,0,11.245968600036576,,,,,,,,,,,,,,,,11.23030210006982,11.244710866656776,,12.262859500013292,,,pilot,001,2025-12-19_18h01.24.241,dichotic_listening,,2025.2.3,59.57860054013289,2025-12-19 18h01.24.411248 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7    ..\data\processed_audios\with_probe\04_03_FR_M...
Name: filename, dtype: object","7    3
Name: number_story_B, dtype: int64",,,,,,,,,
