ordered,voice_L,voice_R,target,target_label,thisN,thisTrialN,thisRepN,key_resp_prompt.keys,key_resp_prompt.rt,key_resp_prompt.duration,key_resp_questionary0.keys,key_resp_questionary0.rt,key_resp_questionary0.duration,key_resp_questionary1.keys,key_resp_questionary1.rt,key_resp_questionary1.duration,key_resp_questionary2.keys,key_resp_questionary2.rt,key_resp_questionary2.duration,condition_trials.thisRepN,condition_trials.thisTrialN,condition_trials.thisN,condition_trials.thisIndex,bip_trials1.thisRepN,bip_trials1.thisTrialN,bip_trials1.thisN,bip_trials1.thisIndex,bip_trials2.thisRepN,bip_trials2.thisTrialN,bip_trials2.thisN,bip_trials2.thisIndex,thisRow.t,notes,selected_rows,Instructions.started,key_instructions.started,text_instructions.started,Instructions.stopped,key_instructions.keys,key_instructions.rt,key_instructions.duration,ConditionPrompt.started,text_prompt.started,key_resp_prompt.started,ConditionPrompt.stopped,condition_trials.key_resp_prompt.keys,condition_trials.key_resp_prompt.rt,condition_trials.key_resp_prompt.duration,Bips.started,bip.started,fixation_bip.started,bip.stopped,fixation_bip.stopped,final_silence.started,final_silence.stopped,Bips.stopped,attended_story,audio_filepath,story_L,story_R,time_audiobook_started,Listening.started,polygon.started,time_audiobook_finished,Listening.stopped,correct_answer0,question0,answer_a0,answer_b0,answer_c0,Questionary0.started,questionary_text0.started,key_resp_questionary0.started,Questionary0.stopped,condition_trials.key_resp_questionary0.keys,condition_trials.key_resp_questionary0.rt,condition_trials.key_resp_questionary0.duration,correct_answer1,question1,answer_a1,answer_b1,answer_c1,Questionary1.started,questionary_text1.started,key_resp_questionary1.started,Questionary1.stopped,condition_trials.key_resp_questionary1.keys,condition_trials.key_resp_questionary1.rt,condition_trials.key_resp_questionary1.duration,correct_answer2,question2,answer_a2,answer_b2,answer_c2,Questionary2.started,questionary_text2.started,key_resp_questionary2.started,Questionary2.stopped,condition_trials.key_resp_questionary2.keys,condition_trials.key_resp_questionary2.rt,condition_trials.key_resp_questionary2.duration,GoodBye.started,final_key.started,final_text.started,GoodBye.stopped,final_key.keys,final_key.rt,final_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2, 7, 1, 5, 0]",0.06394240001100115,2.0012505000049714,2.0012505000049714,13.186587800009875,space,11.173474000010174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
True,M,F,L,O_M_F,0,0,0,space,1.0126665999996476,None,a,1.8255369999969844,None,b,0.4154225999955088,None,c,0.8940276999783237,None,0,0,0,0,0,0,0,0,0,0,0,0,18.051949699991383,,,,,,,,,,13.195323399995686,13.202183499990497,13.202183499990497,14.220126200001687,space,1.0126665999996476,None,18.049122099997476,18.052026066671047,18.051949699991383,18.585154400003375,18.585154400003375,18.585154400003375,19.085276700003305,19.06986680001137,2,..\data\processed_audios_short\M01_F02_tone_probe.wav,2,1,1.033595899993088,15.254693099996075,15.268517399992561,2.782983199984301,18.047801899985643,b,¿Por qué la máquina se negó inicialmente a cumplir la orden de fabricar "nafta" cuando el ingeniero García se lo pidió?,Porque la máquina no tenía los componentes necesarios para crear sustancias líquidas complejas.,Porque la aclaración que le dio García sobre qué era la nafta utilizaba una palabra que no empezaba con la letra N.,Porque el ingeniero López interrumpió el proceso antes de que la máquina pudiera terminar la tarea.,19.08210900000995,19.085276700003305,19.085276700003305,20.920001599995885,a,1.8255369999969844,None,a,"¿Qué sucedió cuando el ingeniero López, intentando ganar la competencia, le ordenó a la máquina que hiciera "nada"?","La máquina comenzó a eliminar objetos, personas y partes del mundo real.","La máquina se quedó inmóvil y en silencio, dándole la victoria a López.",La máquina generó un vacío oscuro dentro de la habitación que asustó a los científicos.,20.927896200009855,20.93537479999941,20.93537479999941,21.353345499985153,b,0.4154225999955088,None,a,"Según el final del relato, ¿por qué la máquina no pudo restaurar la casa ni el resto de las cosas desaparecidas?","Porque las cosas que habían desaparecido, como la casa, no tenían nombres que comenzaran con la letra N.",Porque la energía de la máquina se había agotado completamente tras crear la "Nada".,Porque el ingeniero García decidió dejar el mundo así como lección para su colega López.,21.36190630000783,21.36875140000484,21.36875140000484,22.270351999992272,c,0.8940276999783237,None,,,,,,,,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
False,M,F,R,NO_M_F,1,1,0,space,0.7934179999865592,None,a,0.8928927000088152,None,b,0.3042092999967281,None,c,0.4832806999911554,None,0,1,1,1,0,0,0,0,0,0,0,0,25.152173799986485,,,,,,,,,,22.27054009999847,22.28540839999914,22.28540839999914,23.086716099991463,space,0.7934179999865592,None,25.13800770000671,25.15217766666707,25.152173799986485,25.685873499984154,25.685873499984154,25.685873499984154,26.185949100006837,26.17021620000014,4,..\data\processed_audios_short\M04_F03_tone_probe.wav,3,4,1.033570499974303,24.121050699992338,24.136003299994627,1.0162255999748595,25.136736499989638,a,¿Cuál fue la respuesta inicial de Yoli ante la propuesta del rey intergaláctico de llevarla a su planeta?,"Rechaza la oferta, explicando que está felizmente casada con Ernesto desde hace cuarenta años y prefiere quedarse en la Tierra.","Aceptó de inmediato, emocionada por la posibilidad de ser una reina y viajar por el espacio.",Se escondió de las cámaras y negó ser la persona que el extraterrestre estaba buscando.,26.180943599989405,26.185949100006837,26.185949100006837,27.087436700006947,a,0.8928927000088152,None,c,¿Qué ocurrió cuando la nave del rey finalmente aterrizó y reclamó la presencia de Yoli?,Yoli corre inmediatamente hacia la nave para evitar que el rey cumpla su amenaza de destruir el mundo.,El ejército impidió que Yoli se acerque a la nave y comenzaron a disparar contra el alienígena.,Yoli lo hizo esperar y luego se reunieron en un café cercano.,27.094427600008203,27.102496000006795,27.102496000006795,27.421471200010274,b,0.3042092999967281,None,b,"Según lo revelado por una amiga de Yoli al final del cuento, ¿cuál fue el verdadero motivo por el que ella decidió irse con el extraterrestre?","Porque se sacrificó heroicamente para salvar a la humanidad, aunque amaba profundamente a su esposo.",Porque sentía que su matrimonio se había vuelto una rutina y encontró algo en el rey que le encantaba.,Porque el gobierno la obligó a subir a la nave bajo amenaza de prisión si no colaboraba.,27.428688299987698,27.43550319998758,27.43550319998758,27.920429999998305,c,0.4832806999911554,None,,,,,,,,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
True,F,M,R,O_F_M,2,2,0,space,1.1749844999867491,None,a,0.6648785999859683,None,b,0.22922280000057071,None,c,0.35543999998481013,None,0,2,2,2,0,0,0,0,0,0,0,0,33.63595450000139,,,,,,,,,,27.9206031000067,27.93584799999371,27.93584799999371,29.12048019998474,space,1.1749844999867491,None,33.63300169998547,33.636152566676415,33.63595450000139,34.186218099988764,34.186218099988764,34.186218099988764,34.68597280001268,34.670389800012344,6,..\data\processed_audios_short\F05_M06_tone_probe.wav,5,6,1.03317410001182,30.154397400008747,30.169358399987686,3.4667824000061955,33.63167339999927,b,¿Qué sucedió con la primera novela que Simón Acosta escribió en papel antes de casarse con Luisa?,Fue publicada por una editorial importante y se convirtió en un éxito de ventas.,"Fue rechazada por todos los editores, quienes le dijeron que era horrible.",Nunca llegó a terminarla porque decidió comenzar a escribir solo en su mente.,34.678201600007014,34.68597280001268,34.68597280001268,35.35386400000425,a,0.6648785999859683,None,a,¿Cuál fue el motivo por el que Acosta decidió dejar de escribir físicamente sus libros el día que nació su hijo?,Porque sintió mucho aburrimiento al darse cuenta de que ya se sabía el libro de memoria.,Porque el ruido de la máquina de escribir despertaba al bebé y molestaba a su esposa.,Porque consideró que sus historias eran demasiado complejas para ser escritas.,35.36034720001044,35.36957390001044,35.36957390001044,35.603827499988256,b,0.22922280000057071,None,a,"Al final del cuento, ¿qué le ocurrió a Facundo cuando decidió mentirle a su madre sobre el cementerio?",Se descubrió a sí mismo creando una ficción en su mente.,Decidió escribir en un cuaderno la historia de sus padres para que no se pierda.,Se sintió culpable por no haberle dicho la verdad sobre dónde estaba enterrado su padre.,35.61015100000077,35.61928399998578,35.61928399998578,35.987146700004814,c,0.35543999998481013,None,,,,,,,,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
False,F,M,R,NO_F_M,3,3,0,space,1.372103599976981,None,a,0.6306619000097271,None,c,0.6283774000185076,None,c,0.42644430001382716,None,0,3,3,3,0,0,0,0,0,0,0,0,40.90292980000959,,,,,,,,,,35.98732300000847,36.00270199999795,36.00270199999795,37.38724199999706,space,1.372103599976981,None,40.88929319998715,40.90310196666202,40.90292980000959,41.43620580001152,41.43620580001152,41.43620580001152,41.93628389999503,41.920810200012056,7,..\data\processed_audios_short\F08_M07_tone_probe.wav,8,7,1.033293499989668,38.42132009999477,38.43638609998743,2.4669257999921683,40.88802929999656,c,¿Qué contaba Lorenzo sobre sus primeros días de clases cuando regresaba a casa?,Que la maestra le había enseñado muchas cosas nuevas y tenía mucha tarea.,Que se sentía muy solo porque nadie quería jugar con él en el recreo.,Que un compañero llamado Camilo se portaba mal y vivía en penitencia.,41.927435399993556,41.93628389999503,41.93628389999503,42.57081060000928,a,0.6306619000097271,None,b,¿Cómo afectaron las historias sobre Camilo a la vida cotidiana de la familia de Lorenzo?,Los padres decidieron hablar con la directora inmediatamente para expulsar al niño problemático.,El comportamiento de Camilo se volvió un tema recurrente y usaban su nombre para describir sus propios errores domésticos.,Mariana le prohibió a Lorenzo que se juntara con Camilo para evitar que aprendiera malas palabras.,42.57828429999063,42.58649580000201,42.58649580000201,43.221461999986786,c,0.6283774000185076,None,c,¿Qué descubrió Mariana al hablar con la maestra durante la reunión de padres?,Que Camilo era el hijo de la directora y por eso hacía lo que quería.,Que Camilo se había mudado de escuela justo antes de la reunión.,Que no existía ningún alumno llamado Camilo.,43.22699769999599,43.23636839998653,43.23636839998653,43.67132550000679,c,0.42644430001382716,None,,,,,,,,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
True,F,M,L,O_F_M,4,4,0,space,1.304278899973724,None,a,0.584854999993695,None,c,0.056030599982477725,None,b,0.0847492000029888,None,0,4,4,4,0,0,0,0,0,0,0,0,49.03659350000089,,,,,,,,,,43.67155709999497,43.6866030000092,43.6866030000092,45.00428659998579,space,1.304278899973724,None,49.033344399998896,49.03662516666033,49.03659350000089,49.56980930001009,49.56980930001009,49.56980930001009,50.070100000011735,50.0549319999991,9,..\data\processed_audios_short\F09_M10_tone_probe.wav,9,10,1.033292200008873,46.03833899999154,46.05280340000172,2.983379299985245,49.0320223000017,b,¿Qué condición debía cumplir el hombre para conservar su riqueza y quedar libre del pacto?,Lograr esconderse del Diablo durante un plazo de veinte años.,Adivinar la edad exacta del Diablo antes de que terminara el plazo.,Viajar por todo el mundo entrevistando a los sabios de Europa y Asia.,50.0623651999922,50.070100000011735,50.070100000011735,50.671767799998634,a,0.584854999993695,None,a,¿Cómo reaccionó el hombre ante su nueva vida de lujos tras firmar el pacto?,Se acostumbró rápidamente a la riqueza y pronto olvidó el compromiso que tenía. ,Sintió mucha nostalgia por su antiguo rancho y sus alpargatas.,Pasó los veinte años estudiando para intentar descubrir el secreto del Diablo.,50.6779635999992,50.68681519999518,50.68681519999518,50.754317399987485,c,0.056030599982477725,None,b,¿De qué manera logró el hombre obtener la información necesaria para vencer al Diablo?,Consultó un papel antiguo que tenía guardado en el cajón de su mesa de luz.,Su esposa se disfrazó de un ave exótica para engañar al Diablo y hacerlo confesar.,Los sabios de México y Bolivia le revelaron el número exacto tras una larga búsqueda.,50.760359899984905,50.77003740001237,50.77003740001237,50.871373500005575,b,0.0847492000029888,None,,,,,,,,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87144889999763,50.886848199996166,50.886848199996166,52.038365499989595,space,1.1359893000044394,None,pilot,001,2026-01-12_19h30.17.414,DichoticListeningProbe,,2025.2.3,60.19646923614317,2026-01-12 19h30.17.909017 -0300,
